 frequency       v(Aol_dB)       v(Aol_arg)     
 1.37598551e+00  3.13288155e+01  1.79999973e+02 
 1.40771537e+00  3.13288155e+01  1.79999972e+02 
 1.44017690e+00  3.13288155e+01  1.79999971e+02 
 1.47338699e+00  3.13288155e+01  1.79999971e+02 
 1.50736290e+00  3.13288155e+01  1.79999970e+02 
 1.54212228e+00  3.13288155e+01  1.79999969e+02 
 1.57768320e+00  3.13288155e+01  1.79999969e+02 
 1.61406415e+00  3.13288155e+01  1.79999968e+02 
 1.65128404e+00  3.13288155e+01  1.79999967e+02 
 1.68936220e+00  3.13288155e+01  1.79999966e+02 
 1.72831844e+00  3.13288155e+01  1.79999966e+02 
 1.76817299e+00  3.13288155e+01  1.79999965e+02 
 1.80894658e+00  3.13288155e+01  1.79999964e+02 
 1.85066040e+00  3.13288155e+01  1.79999963e+02 
 1.89333613e+00  3.13288155e+01  1.79999962e+02 
 1.93699595e+00  3.13288155e+01  1.79999962e+02 
 1.98166255e+00  3.13288155e+01  1.79999961e+02 
 2.02735916e+00  3.13288155e+01  1.79999960e+02 
 2.07410951e+00  3.13288155e+01  1.79999959e+02 
 2.12193792e+00  3.13288155e+01  1.79999958e+02 
 2.17086923e+00  3.13288155e+01  1.79999957e+02 
 2.22092889e+00  3.13288155e+01  1.79999956e+02 
 2.27214291e+00  3.13288155e+01  1.79999955e+02 
 2.32453791e+00  3.13288155e+01  1.79999954e+02 
 2.37814113e+00  3.13288155e+01  1.79999953e+02 
 2.43298042e+00  3.13288155e+01  1.79999952e+02 
 2.48908429e+00  3.13288155e+01  1.79999951e+02 
 2.54648190e+00  3.13288155e+01  1.79999949e+02 
 2.60520309e+00  3.13288155e+01  1.79999948e+02 
 2.66527837e+00  3.13288155e+01  1.79999947e+02 
 2.72673897e+00  3.13288155e+01  1.79999946e+02 
 2.78961683e+00  3.13288155e+01  1.79999945e+02 
 2.85394464e+00  3.13288155e+01  1.79999943e+02 
 2.91975583e+00  3.13288155e+01  1.79999942e+02 
 2.98708461e+00  3.13288155e+01  1.79999941e+02 
 3.05596598e+00  3.13288155e+01  1.79999939e+02 
 3.12643573e+00  3.13288155e+01  1.79999938e+02 
 3.19853049e+00  3.13288155e+01  1.79999936e+02 
 3.27228774e+00  3.13288155e+01  1.79999935e+02 
 3.34774581e+00  3.13288155e+01  1.79999933e+02 
 3.42494392e+00  3.13288155e+01  1.79999932e+02 
 3.50392221e+00  3.13288155e+01  1.79999930e+02 
 3.58472171e+00  3.13288155e+01  1.79999929e+02 
 3.66738442e+00  3.13288155e+01  1.79999927e+02 
 3.75195331e+00  3.13288155e+01  1.79999925e+02 
 3.83847234e+00  3.13288155e+01  1.79999924e+02 
 3.92698648e+00  3.13288155e+01  1.79999922e+02 
 4.01754173e+00  3.13288155e+01  1.79999920e+02 
 4.11018515e+00  3.13288155e+01  1.79999918e+02 
 4.20496491e+00  3.13288155e+01  1.79999916e+02 
 4.30193027e+00  3.13288155e+01  1.79999915e+02 
 4.40113162e+00  3.13288155e+01  1.79999913e+02 
 4.50262052e+00  3.13288155e+01  1.79999911e+02 
 4.60644974e+00  3.13288155e+01  1.79999908e+02 
 4.71267322e+00  3.13288155e+01  1.79999906e+02 
 4.82134619e+00  3.13288155e+01  1.79999904e+02 
 4.93252513e+00  3.13288155e+01  1.79999902e+02 
 5.04626783e+00  3.13288155e+01  1.79999900e+02 
 5.16263340e+00  3.13288155e+01  1.79999897e+02 
 5.28168234e+00  3.13288155e+01  1.79999895e+02 
 5.40347650e+00  3.13288155e+01  1.79999893e+02 
 5.52807921e+00  3.13288155e+01  1.79999890e+02 
 5.65555523e+00  3.13288155e+01  1.79999888e+02 
 5.78597080e+00  3.13288155e+01  1.79999885e+02 
 5.91939372e+00  3.13288155e+01  1.79999882e+02 
 6.05589334e+00  3.13288155e+01  1.79999880e+02 
 6.19554061e+00  3.13288155e+01  1.79999877e+02 
 6.33840810e+00  3.13288155e+01  1.79999874e+02 
 6.48457008e+00  3.13288155e+01  1.79999871e+02 
 6.63410251e+00  3.13288155e+01  1.79999868e+02 
 6.78708313e+00  3.13288155e+01  1.79999865e+02 
 6.94359143e+00  3.13288155e+01  1.79999862e+02 
 7.10370877e+00  3.13288155e+01  1.79999859e+02 
 7.26751838e+00  3.13288155e+01  1.79999856e+02 
 7.43510539e+00  3.13288155e+01  1.79999852e+02 
 7.60655691e+00  3.13288155e+01  1.79999849e+02 
 7.78196206e+00  3.13288155e+01  1.79999845e+02 
 7.96141200e+00  3.13288155e+01  1.79999842e+02 
 8.14500001e+00  3.13288155e+01  1.79999838e+02 
 8.33282151e+00  3.13288155e+01  1.79999834e+02 
 8.52497412e+00  3.13288155e+01  1.79999831e+02 
 8.72155772e+00  3.13288155e+01  1.79999827e+02 
 8.92267449e+00  3.13288155e+01  1.79999823e+02 
 9.12842895e+00  3.13288155e+01  1.79999819e+02 
 9.33892805e+00  3.13288155e+01  1.79999814e+02 
 9.55428121e+00  3.13288155e+01  1.79999810e+02 
 9.77460036e+00  3.13288155e+01  1.79999806e+02 
 1.00000000e+01  3.13288155e+01  1.79999801e+02 
 1.02305973e+01  3.13288155e+01  1.79999797e+02 
 1.04665121e+01  3.13288155e+01  1.79999792e+02 
 1.07078670e+01  3.13288155e+01  1.79999787e+02 
 1.09547876e+01  3.13288155e+01  1.79999782e+02 
 1.12074020e+01  3.13288155e+01  1.79999777e+02 
 1.14658417e+01  3.13288155e+01  1.79999772e+02 
 1.17302409e+01  3.13288155e+01  1.79999767e+02 
 1.20007371e+01  3.13288155e+01  1.79999761e+02 
 1.22774708e+01  3.13288155e+01  1.79999756e+02 
 1.25605860e+01  3.13288155e+01  1.79999750e+02 
 1.28502297e+01  3.13288155e+01  1.79999745e+02 
 1.31465525e+01  3.13288155e+01  1.79999739e+02 
 1.34497085e+01  3.13288155e+01  1.79999733e+02 
 1.37598551e+01  3.13288155e+01  1.79999727e+02 
 1.40771537e+01  3.13288155e+01  1.79999720e+02 
 1.44017690e+01  3.13288155e+01  1.79999714e+02 
 1.47338699e+01  3.13288155e+01  1.79999707e+02 
 1.50736290e+01  3.13288155e+01  1.79999700e+02 
 1.54212228e+01  3.13288155e+01  1.79999694e+02 
 1.57768320e+01  3.13288155e+01  1.79999686e+02 
 1.61406415e+01  3.13288155e+01  1.79999679e+02 
 1.65128404e+01  3.13288155e+01  1.79999672e+02 
 1.68936220e+01  3.13288155e+01  1.79999664e+02 
 1.72831844e+01  3.13288155e+01  1.79999657e+02 
 1.76817299e+01  3.13288155e+01  1.79999649e+02 
 1.80894658e+01  3.13288155e+01  1.79999640e+02 
 1.85066040e+01  3.13288155e+01  1.79999632e+02 
 1.89333613e+01  3.13288155e+01  1.79999624e+02 
 1.93699595e+01  3.13288155e+01  1.79999615e+02 
 1.98166255e+01  3.13288155e+01  1.79999606e+02 
 2.02735916e+01  3.13288155e+01  1.79999597e+02 
 2.07410951e+01  3.13288155e+01  1.79999588e+02 
 2.12193792e+01  3.13288155e+01  1.79999578e+02 
 2.17086923e+01  3.13288155e+01  1.79999569e+02 
 2.22092889e+01  3.13288155e+01  1.79999559e+02 
 2.27214291e+01  3.13288155e+01  1.79999548e+02 
 2.32453791e+01  3.13288155e+01  1.79999538e+02 
 2.37814113e+01  3.13288155e+01  1.79999527e+02 
 2.43298042e+01  3.13288155e+01  1.79999516e+02 
 2.48908429e+01  3.13288155e+01  1.79999505e+02 
 2.54648190e+01  3.13288155e+01  1.79999494e+02 
 2.60520309e+01  3.13288155e+01  1.79999482e+02 
 2.66527837e+01  3.13288155e+01  1.79999470e+02 
 2.72673897e+01  3.13288155e+01  1.79999458e+02 
 2.78961683e+01  3.13288155e+01  1.79999446e+02 
 2.85394464e+01  3.13288155e+01  1.79999433e+02 
 2.91975583e+01  3.13288155e+01  1.79999420e+02 
 2.98708461e+01  3.13288155e+01  1.79999406e+02 
 3.05596598e+01  3.13288155e+01  1.79999393e+02 
 3.12643573e+01  3.13288155e+01  1.79999379e+02 
 3.19853049e+01  3.13288155e+01  1.79999364e+02 
 3.27228774e+01  3.13288155e+01  1.79999350e+02 
 3.34774581e+01  3.13288155e+01  1.79999335e+02 
 3.42494392e+01  3.13288155e+01  1.79999319e+02 
 3.50392221e+01  3.13288155e+01  1.79999304e+02 
 3.58472171e+01  3.13288155e+01  1.79999288e+02 
 3.66738442e+01  3.13288155e+01  1.79999271e+02 
 3.75195331e+01  3.13288155e+01  1.79999254e+02 
 3.83847234e+01  3.13288155e+01  1.79999237e+02 
 3.92698648e+01  3.13288155e+01  1.79999220e+02 
 4.01754173e+01  3.13288155e+01  1.79999202e+02 
 4.11018515e+01  3.13288155e+01  1.79999183e+02 
 4.20496491e+01  3.13288155e+01  1.79999164e+02 
 4.30193027e+01  3.13288155e+01  1.79999145e+02 
 4.40113162e+01  3.13288155e+01  1.79999125e+02 
 4.50262052e+01  3.13288155e+01  1.79999105e+02 
 4.60644974e+01  3.13288155e+01  1.79999084e+02 
 4.71267322e+01  3.13288155e+01  1.79999063e+02 
 4.82134619e+01  3.13288155e+01  1.79999042e+02 
 4.93252513e+01  3.13288155e+01  1.79999020e+02 
 5.04626783e+01  3.13288155e+01  1.79998997e+02 
 5.16263340e+01  3.13288155e+01  1.79998974e+02 
 5.28168234e+01  3.13288155e+01  1.79998950e+02 
 5.40347650e+01  3.13288155e+01  1.79998926e+02 
 5.52807921e+01  3.13288155e+01  1.79998901e+02 
 5.65555523e+01  3.13288155e+01  1.79998876e+02 
 5.78597080e+01  3.13288155e+01  1.79998850e+02 
 5.91939372e+01  3.13288155e+01  1.79998824e+02 
 6.05589334e+01  3.13288155e+01  1.79998796e+02 
 6.19554061e+01  3.13288155e+01  1.79998769e+02 
 6.33840810e+01  3.13288155e+01  1.79998740e+02 
 6.48457008e+01  3.13288155e+01  1.79998711e+02 
 6.63410251e+01  3.13288155e+01  1.79998681e+02 
 6.78708313e+01  3.13288155e+01  1.79998651e+02 
 6.94359143e+01  3.13288155e+01  1.79998620e+02 
 7.10370877e+01  3.13288155e+01  1.79998588e+02 
 7.26751838e+01  3.13288155e+01  1.79998556e+02 
 7.43510539e+01  3.13288155e+01  1.79998522e+02 
 7.60655691e+01  3.13288155e+01  1.79998488e+02 
 7.78196206e+01  3.13288155e+01  1.79998453e+02 
 7.96141200e+01  3.13288155e+01  1.79998418e+02 
 8.14500001e+01  3.13288155e+01  1.79998381e+02 
 8.33282151e+01  3.13288155e+01  1.79998344e+02 
 8.52497412e+01  3.13288155e+01  1.79998306e+02 
 8.72155772e+01  3.13288155e+01  1.79998267e+02 
 8.92267449e+01  3.13288155e+01  1.79998227e+02 
 9.12842895e+01  3.13288155e+01  1.79998186e+02 
 9.33892805e+01  3.13288155e+01  1.79998144e+02 
 9.55428121e+01  3.13288155e+01  1.79998101e+02 
 9.77460036e+01  3.13288155e+01  1.79998057e+02 
 1.00000000e+02  3.13288155e+01  1.79998013e+02 
 1.02305973e+02  3.13288155e+01  1.79997967e+02 
 1.04665121e+02  3.13288155e+01  1.79997920e+02 
 1.07078670e+02  3.13288155e+01  1.79997872e+02 
 1.09547876e+02  3.13288155e+01  1.79997823e+02 
 1.12074020e+02  3.13288155e+01  1.79997773e+02 
 1.14658417e+02  3.13288155e+01  1.79997721e+02 
 1.17302409e+02  3.13288155e+01  1.79997669e+02 
 1.20007371e+02  3.13288155e+01  1.79997615e+02 
 1.22774708e+02  3.13288155e+01  1.79997560e+02 
 1.25605860e+02  3.13288155e+01  1.79997504e+02 
 1.28502297e+02  3.13288155e+01  1.79997446e+02 
 1.31465525e+02  3.13288155e+01  1.79997387e+02 
 1.34497085e+02  3.13288155e+01  1.79997327e+02 
 1.37598551e+02  3.13288155e+01  1.79997265e+02 
 1.40771537e+02  3.13288155e+01  1.79997202e+02 
 1.44017690e+02  3.13288155e+01  1.79997138e+02 
 1.47338699e+02  3.13288155e+01  1.79997072e+02 
 1.50736290e+02  3.13288155e+01  1.79997004e+02 
 1.54212228e+02  3.13288155e+01  1.79996935e+02 
 1.57768320e+02  3.13288155e+01  1.79996864e+02 
 1.61406415e+02  3.13288155e+01  1.79996792e+02 
 1.65128404e+02  3.13288155e+01  1.79996718e+02 
 1.68936220e+02  3.13288155e+01  1.79996642e+02 
 1.72831844e+02  3.13288155e+01  1.79996565e+02 
 1.76817299e+02  3.13288155e+01  1.79996486e+02 
 1.80894658e+02  3.13288155e+01  1.79996405e+02 
 1.85066040e+02  3.13288155e+01  1.79996322e+02 
