 time            v(vin)          v(vout)        
 8.23422559e-05  7.54945975e-01  4.02080620e-01 
 8.33422559e-05  7.55000486e-01  4.01101041e-01 
 8.43422559e-05  7.55054799e-01  4.00133946e-01 
 8.53422559e-05  7.55108912e-01  3.99179173e-01 
 8.63422559e-05  7.55162824e-01  3.98236563e-01 
 8.73422559e-05  7.55216532e-01  3.97305957e-01 
 8.83422559e-05  7.55270034e-01  3.96387197e-01 
 8.93422559e-05  7.55323329e-01  3.95480128e-01 
 9.03422559e-05  7.55376412e-01  3.94584595e-01 
 9.13422559e-05  7.55429284e-01  3.93700447e-01 
 9.23422559e-05  7.55481941e-01  3.92827531e-01 
 9.33422559e-05  7.55534382e-01  3.91965699e-01 
 9.43422559e-05  7.55586605e-01  3.91114804e-01 
 9.53422559e-05  7.55638607e-01  3.90274699e-01 
 9.63422559e-05  7.55690386e-01  3.89445242e-01 
 9.73422559e-05  7.55741941e-01  3.88626290e-01 
 9.83422559e-05  7.55793269e-01  3.87817704e-01 
 9.93422559e-05  7.55844368e-01  3.87019345e-01 
 1.00342256e-04  7.55895236e-01  3.86231078e-01 
 1.01342256e-04  7.55945872e-01  3.85452769e-01 
 1.02342256e-04  7.55996273e-01  3.84684285e-01 
 1.03342256e-04  7.56046438e-01  3.83925497e-01 
 1.04342256e-04  7.56096363e-01  3.83176277e-01 
 1.05342256e-04  7.56146048e-01  3.82436499e-01 
 1.06342256e-04  7.56195491e-01  3.81706038e-01 
 1.07342256e-04  7.56244688e-01  3.80984773e-01 
 1.08342256e-04  7.56293640e-01  3.80272584e-01 
 1.09342256e-04  7.56342342e-01  3.79569353e-01 
 1.10342256e-04  7.56390795e-01  3.78874964e-01 
 1.11342256e-04  7.56438995e-01  3.78189303e-01 
 1.12342256e-04  7.56486941e-01  3.77512258e-01 
 1.13342256e-04  7.56534630e-01  3.76843719e-01 
 1.14342256e-04  7.56582062e-01  3.76183577e-01 
 1.15342256e-04  7.56629234e-01  3.75531727e-01 
 1.16342256e-04  7.56676144e-01  3.74888064e-01 
 1.17342256e-04  7.56722791e-01  3.74252486e-01 
 1.18342256e-04  7.56769172e-01  3.73624892e-01 
 1.19342256e-04  7.56815286e-01  3.73005183e-01 
 1.20342256e-04  7.56861131e-01  3.72393263e-01 
 1.21342256e-04  7.56906705e-01  3.71789036e-01 
 1.22342256e-04  7.56952007e-01  3.71192408e-01 
 1.23342256e-04  7.56997034e-01  3.70603289e-01 
 1.24342256e-04  7.57041785e-01  3.70021588e-01 
 1.25342256e-04  7.57086257e-01  3.69447217e-01 
 1.26342256e-04  7.57130450e-01  3.68880089e-01 
 1.27342256e-04  7.57174362e-01  3.68320120e-01 
 1.28342256e-04  7.57217990e-01  3.67767226e-01 
 1.29342256e-04  7.57261334e-01  3.67221326e-01 
 1.30342256e-04  7.57304390e-01  3.66682339e-01 
 1.30467256e-04  7.57309752e-01  3.66615456e-01 
 1.30717256e-04  7.57320462e-01  3.66481987e-01 
 1.31217256e-04  7.57341828e-01  3.66216335e-01 
 1.32217256e-04  7.57384343e-01  3.65690100e-01 
 1.33217256e-04  7.57426566e-01  3.65170557e-01 
 1.34217256e-04  7.57468496e-01  3.64657632e-01 
 1.35217256e-04  7.57510131e-01  3.64151251e-01 
 1.36217256e-04  7.57551470e-01  3.63651343e-01 
 1.37217256e-04  7.57592510e-01  3.63157838e-01 
 1.38217256e-04  7.57633251e-01  3.62670668e-01 
 1.39217256e-04  7.57673690e-01  3.62189766e-01 
 1.40217256e-04  7.57713826e-01  3.61715065e-01 
 1.40342256e-04  7.57718822e-01  3.61656167e-01 
 1.40592256e-04  7.57728799e-01  3.61538639e-01 
 1.41092256e-04  7.57748696e-01  3.61304738e-01 
 1.42092256e-04  7.57788260e-01  3.60841492e-01 
 1.43092256e-04  7.57827517e-01  3.60384265e-01 
 1.44092256e-04  7.57866464e-01  3.59932996e-01 
 1.45092256e-04  7.57905102e-01  3.59487625e-01 
 1.46092256e-04  7.57943427e-01  3.59048095e-01 
 1.46217256e-04  7.57948195e-01  3.58993568e-01 
 1.46467256e-04  7.57957718e-01  3.58884766e-01 
 1.46967256e-04  7.57976704e-01  3.58668251e-01 
 1.47967256e-04  7.58014440e-01  3.58239517e-01 
 1.48967256e-04  7.58051859e-01  3.57816460e-01 
 1.49967256e-04  7.58088960e-01  3.57399028e-01 
 1.50967256e-04  7.58125743e-01  3.56987166e-01 
 1.51967256e-04  7.58162204e-01  3.56580823e-01 
 1.52967256e-04  7.58198343e-01  3.56179947e-01 
 1.53967256e-04  7.58234159e-01  3.55784490e-01 
 1.54967256e-04  7.58269649e-01  3.55394402e-01 
 1.55967256e-04  7.58304813e-01  3.55009635e-01 
 1.56967256e-04  7.58339649e-01  3.54630142e-01 
 1.57967256e-04  7.58374156e-01  3.54255877e-01 
 1.58967256e-04  7.58408332e-01  3.53886796e-01 
 1.59967256e-04  7.58442177e-01  3.53522854e-01 
 1.60967256e-04  7.58475688e-01  3.53164007e-01 
 1.61967256e-04  7.58508864e-01  3.52810214e-01 
 1.62967256e-04  7.58541705e-01  3.52461434e-01 
 1.63967256e-04  7.58574208e-01  3.52117625e-01 
 1.64967256e-04  7.58606373e-01  3.51778747e-01 
 1.65967256e-04  7.58638198e-01  3.51444763e-01 
 1.66967256e-04  7.58669682e-01  3.51115633e-01 
 1.67967256e-04  7.58700824e-01  3.50791320e-01 
 1.68967256e-04  7.58731622e-01  3.50471789e-01 
 1.69967256e-04  7.58762075e-01  3.50157002e-01 
 1.70967256e-04  7.58792183e-01  3.49846925e-01 
 1.71967256e-04  7.58821944e-01  3.49541524e-01 
 1.72967256e-04  7.58851356e-01  3.49240765e-01 
 1.73967256e-04  7.58880419e-01  3.48944614e-01 
 1.74967256e-04  7.58909131e-01  3.48653041e-01 
 1.75967256e-04  7.58937492e-01  3.48366014e-01 
 1.76967256e-04  7.58965499e-01  3.48083500e-01 
 1.77967256e-04  7.58993153e-01  3.47805472e-01 
 1.78967256e-04  7.59020452e-01  3.47531898e-01 
 1.79092256e-04  7.59023839e-01  3.47498017e-01 
 1.79342256e-04  7.59030597e-01  3.47430451e-01 
 1.79842256e-04  7.59044046e-01  3.47296152e-01 
 1.80842256e-04  7.59070676e-01  3.47030854e-01 
 1.81842256e-04  7.59096948e-01  3.46769929e-01 
 1.82842256e-04  7.59122861e-01  3.46513351e-01 
 1.83842256e-04  7.59148414e-01  3.46261092e-01 
 1.84842256e-04  7.59173605e-01  3.46013127e-01 
 1.85842256e-04  7.59198435e-01  3.45769431e-01 
 1.86842256e-04  7.59222901e-01  3.45529979e-01 
 1.87842256e-04  7.59247003e-01  3.45294746e-01 
 1.88842256e-04  7.59270741e-01  3.45063708e-01 
 1.89842256e-04  7.59294112e-01  3.44836844e-01 
 1.90842256e-04  7.59317116e-01  3.44614130e-01 
 1.91842256e-04  7.59339752e-01  3.44395543e-01 
 1.92842256e-04  7.59362020e-01  3.44181063e-01 
 1.93842256e-04  7.59383918e-01  3.43970668e-01 
 1.94842256e-04  7.59405446e-01  3.43764338e-01 
 1.95842256e-04  7.59426602e-01  3.43562052e-01 
 1.96842256e-04  7.59447386e-01  3.43363791e-01 
 1.97842256e-04  7.59467797e-01  3.43169536e-01 
 1.98842256e-04  7.59487835e-01  3.42979268e-01 
 1.99842256e-04  7.59507498e-01  3.42792969e-01 
 2.00842256e-04  7.59526785e-01  3.42610621e-01 
 2.01842256e-04  7.59545697e-01  3.42432207e-01 
 2.02842256e-04  7.59564231e-01  3.42257710e-01 
 2.03842256e-04  7.59582388e-01  3.42087114e-01 
 2.04842256e-04  7.59600167e-01  3.41920402e-01 
 2.05842256e-04  7.59617567e-01  3.41757559e-01 
 2.06842256e-04  7.59634587e-01  3.41598569e-01 
 2.07842256e-04  7.59651226e-01  3.41443419e-01 
 2.08842256e-04  7.59667485e-01  3.41292094e-01 
 2.09842256e-04  7.59683362e-01  3.41144579e-01 
 2.10842256e-04  7.59698857e-01  3.41000861e-01 
 2.11842256e-04  7.59713969e-01  3.40860927e-01 
 2.12842256e-04  7.59728697e-01  3.40724765e-01 
 2.13842256e-04  7.59743041e-01  3.40592362e-01 
