Adc_cl_dB_arr,fcu_arr,CMRR_dc_dB_arr
-5.699549999999999894e-01,5.191580000000000000e+05,4.269069999999999965e+01
-4.874479999999999924e-01,4.045540000000000000e+05,4.113580000000000325e+01
-5.389530000000000154e-01,4.025550000000000000e+05,4.275450000000000017e+01
-5.562799999999999967e-01,3.899640000000000000e+05,6.791469999999999629e+01
-5.489899999999999780e-01,4.080570000000000000e+05,6.234230000000000160e+01
-5.385809999999999764e-01,3.997020000000000000e+05,5.709109999999999729e+01
-6.050969999999999960e-01,4.034600000000000000e+05,3.746620000000000061e+01
-5.748560000000000336e-01,3.852920000000000000e+05,6.076959999999999695e+01
-5.414459999999999829e-01,4.559670000000000000e+05,4.284400000000000119e+01
-5.842479999999999896e-01,3.641670000000000000e+05,4.339079999999999870e+01
-5.763580000000000370e-01,4.568550000000000000e+05,4.839569999999999794e+01
-5.610659999999999537e-01,4.721670000000000000e+05,4.329339999999999833e+01
-5.699100000000000277e-01,3.454820000000000000e+05,5.531569999999999965e+01
-5.292700000000000182e-01,3.893460000000000000e+05,4.631369999999999720e+01
-5.835350000000000259e-01,3.912980000000000000e+05,4.361039999999999850e+01
-5.814470000000000471e-01,4.462530000000000000e+05,4.276539999999999964e+01
-5.360260000000000025e-01,4.221950000000000000e+05,5.653240000000000265e+01
-6.259149999999999991e-01,4.303500000000000000e+05,3.763159999999999883e+01
-5.230329999999999702e-01,4.103910000000000000e+05,5.138000000000000256e+01
-5.371569999999999956e-01,4.476420000000000000e+05,4.848429999999999751e+01
-5.466299999999999493e-01,4.852730000000000000e+05,4.231580000000000297e+01
-5.581730000000000302e-01,4.312900000000000000e+05,4.053520000000000323e+01
-5.816369999999999596e-01,4.085960000000000000e+05,4.205850000000000222e+01
-5.247249999999999970e-01,4.080760000000000000e+05,5.505389999999999873e+01
-5.314550000000000107e-01,4.114260000000000000e+05,4.948590000000000089e+01
-5.778330000000000410e-01,4.200250000000000000e+05,4.366329999999999956e+01
-5.320589999999999486e-01,4.532190000000000000e+05,4.804200000000000159e+01
-5.429490000000000149e-01,3.902470000000000000e+05,4.673409999999999798e+01
-5.113910000000000400e-01,3.681770000000000000e+05,4.818919999999999959e+01
-5.780589999999999895e-01,4.944660000000000000e+05,6.447950000000000159e+01
-5.388389999999999569e-01,4.224150000000000000e+05,4.424419999999999931e+01
-5.325659999999999838e-01,4.198160000000000000e+05,4.779469999999999885e+01
-5.586320000000000174e-01,4.016640000000000000e+05,4.519200000000000017e+01
-5.845620000000000260e-01,3.710090000000000000e+05,4.108930000000000149e+01
-5.555849999999999955e-01,4.359930000000000000e+05,4.321750000000000114e+01
-5.695930000000000160e-01,4.329980000000000000e+05,4.156799999999999784e+01
-5.533869999999999623e-01,4.068740000000000000e+05,4.408359999999999701e+01
-5.336319999999999952e-01,4.383540000000000000e+05,6.777530000000000143e+01
-5.392829999999999568e-01,4.015110000000000000e+05,3.797760000000000247e+01
-6.007219999999999782e-01,4.524340000000000000e+05,3.767560000000000286e+01
-5.378519999999999968e-01,3.899570000000000000e+05,5.251800000000000068e+01
-5.065450000000000230e-01,4.339920000000000000e+05,5.827400000000000091e+01
-5.837259999999999671e-01,3.659680000000000000e+05,4.606739999999999924e+01
-5.702260000000000106e-01,4.009780000000000000e+05,4.572039999999999793e+01
-5.344090000000000229e-01,5.053820000000000000e+05,6.858929999999999438e+01
-5.817740000000000133e-01,3.964740000000000000e+05,4.786090000000000089e+01
-5.637020000000000364e-01,4.601080000000000000e+05,4.681519999999999726e+01
-5.297399999999999887e-01,3.527080000000000000e+05,5.652499999999999858e+01
-5.792450000000000099e-01,3.793110000000000000e+05,3.832710000000000150e+01
-5.747370000000000534e-01,3.958800000000000000e+05,3.871670000000000300e+01
-5.753380000000000161e-01,4.361440000000000000e+05,4.115899999999999892e+01
-5.564500000000000002e-01,5.204200000000000000e+05,5.730740000000000123e+01
-5.023539999999999672e-01,4.379030000000000000e+05,5.045949999999999847e+01
-5.336899999999999977e-01,4.412590000000000000e+05,5.580559999999999832e+01
-5.897909999999999542e-01,3.744540000000000000e+05,3.864500000000000313e+01
-5.497640000000000304e-01,4.152920000000000000e+05,4.095960000000000178e+01
-5.655790000000000539e-01,3.878750000000000000e+05,4.135869999999999891e+01
-5.301630000000000509e-01,4.182510000000000000e+05,4.623819999999999908e+01
-5.345900000000000096e-01,4.696380000000000000e+05,5.648669999999999902e+01
-5.715219999999999745e-01,4.686300000000000000e+05,3.976480000000000103e+01
-6.082800000000000429e-01,3.761620000000000000e+05,4.210269999999999868e+01
-5.959879999999999622e-01,4.078740000000000000e+05,3.848599999999999710e+01
-5.832319999999999727e-01,3.929480000000000000e+05,4.128150000000000119e+01
-5.412770000000000081e-01,4.235890000000000000e+05,4.467410000000000281e+01
-5.203259999999999552e-01,3.972020000000000000e+05,7.381199999999999761e+01
-5.352179999999999715e-01,4.106500000000000000e+05,4.888080000000000069e+01
-5.228969999999999452e-01,3.871280000000000000e+05,4.263369999999999749e+01
-5.798900000000000166e-01,4.149910000000000000e+05,4.096170000000000044e+01
-5.174159999999999870e-01,4.294130000000000000e+05,5.635609999999999786e+01
-5.917639999999999567e-01,3.838540000000000000e+05,3.952080000000000126e+01
-5.198789999999999800e-01,4.023070000000000000e+05,5.758310000000000173e+01
-5.400049999999999573e-01,4.047240000000000000e+05,4.256880000000000308e+01
-5.764789999999999637e-01,4.414460000000000000e+05,4.374759999999999849e+01
-5.443919999999999870e-01,4.304630000000000000e+05,5.308059999999999690e+01
