Metric,Value
timing__setup__ws__corner:nom_typ_1p50V_25C,14.989350629424308
timing__hold__tns__corner:nom_typ_1p50V_25C,0.0
timing__setup__tns__corner:nom_typ_1p50V_25C,0.0
timing__hold__wns__corner:nom_typ_1p50V_25C,0
timing__setup__wns__corner:nom_typ_1p50V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p50V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p50V_25C,0.430338
timing__hold_r2r_vio__count__corner:nom_typ_1p50V_25C,0
timing__setup_vio__count__corner:nom_typ_1p50V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p50V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p50V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.10949801097988399
clock__skew__worst_setup,0.10060062095885747
timing__hold__ws,0.27710601264610674
timing__setup__ws,13.818692359300599
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.277106
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 400.0 400.0
design__core__bbox,5.76 15.12 394.08 381.78
design__io,13
design__die__area,160000
design__core__area,142381
design__instance__count__stdcell,76
design__instance__area__stdcell,1246.49
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0087546
design__instance__utilization__stdcell,0.0087546
design__rows,97
design__rows:CoreSite,97
design__sites,78473
design__sites:CoreSite,78473
design__instance__count__class:buffer,1
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,2
design__instance__area__class:inverter,10.8864
design__instance__count__class:sequential_cell,8
design__instance__area__class:sequential_cell,391.91
design__instance__count__class:multi_input_combinational_cell,35
design__instance__area__class:multi_input_combinational_cell,342.922
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,163.108
design__instance__displacement__mean,2.146
design__instance__displacement__max,9.532
route__wirelength__estimated,3100.67
design__violations,0
design__instance__count__class:timing_repair_buffer,27
design__instance__area__class:timing_repair_buffer,350.179
design__instance__count__class:clock_buffer,3
design__instance__area__class:clock_buffer,136.08
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,17
global_route__vias,391
global_route__wirelength,3996
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,79
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,3061
route__drc_errors__iter:1,0
route__wirelength__iter:1,3061
route__drc_errors,0
route__wirelength,3061
route__vias,359
route__vias__singlecut,359
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,527.53
design__instance__count__class:fill_cell,11185
design__instance__area__class:fill_cell,141135
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_fast_1p65V_m40C,0
timing__unannotated_net_filtered__count__corner:nom_fast_1p65V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_slow_1p35V_125C,0
timing__unannotated_net_filtered__count__corner:nom_slow_1p35V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count__corner:nom_typ_1p50V_25C,0
timing__unannotated_net_filtered__count__corner:nom_typ_1p50V_25C,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_typ_1p50V_25C,1.49949
design_powergrid__drop__average__net:VDD__corner:nom_typ_1p50V_25C,1.49999
design_powergrid__drop__worst__net:VDD__corner:nom_typ_1p50V_25C,0.000510921
design_powergrid__voltage__worst__net:VSS__corner:nom_typ_1p50V_25C,0.000528822
design_powergrid__drop__average__net:VSS__corner:nom_typ_1p50V_25C,0.00000418631
design_powergrid__drop__worst__net:VSS__corner:nom_typ_1p50V_25C,0.000528822
design_powergrid__voltage__worst,0.000528822
design_powergrid__voltage__worst__net:VDD,1.49949
design_powergrid__drop__worst,0.000528822
design_powergrid__drop__worst__net:VDD,0.000510921
design_powergrid__voltage__worst__net:VSS,0.000528822
design_powergrid__drop__worst__net:VSS,0.000528822
ir__voltage__worst,1.5
ir__drop__avg,0.000005669999999999999923416295344313908799449563957750797271728515625
ir__drop__worst,0.00051099999999999995252408790946674344013445079326629638671875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
