time_us,clock,reset_n,enable,sram_0_out,inv1_dout1,inv1_dout2,inv1_dout3,inv1_dout4,inv2_vin1,inv2_vout1,inv2_vin2,inv2_vout2,counter2_value0,counter2_value1,counter2_value2,counter2_value3,counter2_value4,counter2_value5,counter2_value6,counter2_value7,counter1_value4_inv1_din1,counter1_value5_inv1_din2
3.616546310000000059e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319739999999598e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500454469999999763e-01,5.367710140000000463e-01,7.500908920000000091e-01,5.363690660000000054e-01,3.156921920000000111e-06,4.199320620000000209e-09,4.199320620000000209e-09,4.199320620000000209e-09,4.199320620000000209e-09,4.199320620000000209e-09,4.199320620000000209e-09,4.199320620000000209e-09,4.293884239999999928e-09,4.293884599999999878e-09
4.326398199999999597e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199317629999999918e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500543670000000551e-01,5.365967849999999650e-01,7.501087319999999448e-01,5.360207350000000259e-01,7.052776039999999956e-06,4.199319159999999909e-09,4.199319159999999909e-09,4.199319159999999909e-09,4.199319159999999909e-09,4.199319159999999909e-09,4.199319159999999909e-09,4.199319159999999909e-09,4.293886089999999691e-09,4.293885869999999952e-09
5.686895860000000004e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199321559999999847e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500714630000000493e-01,5.362044040000000233e-01,7.501429219999999898e-01,5.352365270000000175e-01,-3.655144150000000060e-05,4.199321299999999930e-09,4.199321299999999930e-09,4.199321299999999930e-09,4.199321299999999930e-09,4.199321299999999930e-09,4.199321299999999930e-09,4.199321299999999930e-09,4.293885269999999760e-09,4.293885279999999598e-09
7.893447930000000237e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320299999999611e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500991900000000268e-01,5.354494039999999622e-01,7.501983709999999750e-01,5.337288559999999737e-01,2.937977039999999877e-03,4.199319369999999811e-09,4.199319369999999811e-09,4.199319369999999811e-09,4.199319369999999811e-09,4.199319369999999811e-09,4.199319369999999811e-09,4.199319369999999811e-09,4.293885629999999710e-09,4.293885950000000308e-09
1.009999999999999960e-02,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318699999999928e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501269170000000042e-01,5.345930859999999951e-01,7.502538130000000471e-01,5.320211769999999563e-01,3.247624050000000206e+00,4.199319180000000412e-09,4.199319180000000412e-09,4.199319180000000412e-09,4.199319180000000412e-09,4.199319180000000412e-09,4.199319180000000412e-09,4.199319180000000412e-09,4.293883929999999995e-09,4.293884709999999747e-09
1.010999999999999920e-02,2.970000000000000195e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199326180000000162e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501270429999999934e-01,5.345889750000000218e-01,7.502540650000000255e-01,5.320129820000000231e-01,3.257710490000000014e+00,4.199323239999999886e-09,4.199323239999999886e-09,4.199323239999999886e-09,4.199323239999999886e-09,4.199323239999999886e-09,4.199323239999999886e-09,4.199323239999999886e-09,4.293887979999999632e-09,4.293883410000000160e-09
1.013000000000000012e-02,2.310000000000000053e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199327090000000286e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501272940000000000e-01,5.345807489999999662e-01,7.502545670000000388e-01,5.319965880000000480e-01,3.270012390000000213e+00,4.199329149999999951e-09,4.199329149999999951e-09,4.199329149999999951e-09,4.199329149999999951e-09,4.199329149999999951e-09,4.199329149999999951e-09,4.199329149999999951e-09,4.293890900000000231e-09,4.293878410000000221e-09
1.016500000000000042e-02,1.155000000000000027e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199323409999999610e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501277339999999905e-01,5.345663449999999983e-01,7.502554470000000197e-01,5.319678799999999486e-01,3.278837240000000097e+00,4.199321950000000137e-09,4.199321950000000137e-09,4.199321950000000137e-09,4.199321950000000137e-09,4.199321950000000137e-09,4.199321950000000137e-09,4.199321950000000137e-09,4.293890819999999875e-09,4.293882650000000083e-09
1.020000000000000073e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320039999999694e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501281730000000092e-01,5.345519279999999540e-01,7.502563260000000289e-01,5.319391479999999728e-01,3.281537199999999821e+00,4.199319030000000364e-09,4.199319030000000364e-09,4.199319030000000364e-09,4.199319030000000364e-09,4.199319030000000364e-09,4.199319030000000364e-09,4.199319030000000364e-09,4.293888059999999988e-09,4.293881780000000137e-09
1.020700000000000079e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320720000000241e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501282609999999629e-01,5.345490419999999743e-01,7.502565020000000473e-01,5.319333979999999462e-01,3.281579990000000002e+00,4.199323720000000370e-09,4.199323720000000370e-09,4.199323720000000370e-09,4.199323720000000370e-09,4.199323720000000370e-09,4.199323720000000370e-09,4.199323720000000370e-09,4.293888949999999610e-09,4.293884969999999665e-09
1.022099999999999918e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319219999999763e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501284369999999813e-01,5.345432709999999865e-01,7.502568530000000013e-01,5.319218949999999779e-01,3.281838529999999921e+00,4.199325200000000346e-09,4.199325200000000346e-09,4.199325200000000346e-09,4.199325200000000346e-09,4.199325200000000346e-09,4.199325200000000346e-09,4.199325200000000346e-09,4.293893829999999842e-09,4.293883579999999883e-09
1.024899999999999943e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199321159999999720e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501287890000000180e-01,5.345317210000000152e-01,7.502575569999999638e-01,5.318988789999999911e-01,3.282713170000000069e+00,4.199331270000000295e-09,4.199331270000000295e-09,4.199331270000000295e-09,4.199331270000000295e-09,4.199331270000000295e-09,4.199331270000000295e-09,4.199331270000000295e-09,4.293891510000000261e-09,4.293887730000000379e-09
1.030499999999999992e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320039999999694e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501294929999999805e-01,5.345085979999999459e-01,7.502589640000000282e-01,5.318527990000000427e-01,3.284568129999999808e+00,4.199321709999999895e-09,4.199321709999999895e-09,4.199321709999999895e-09,4.199321709999999895e-09,4.199321709999999895e-09,4.199321709999999895e-09,4.199321709999999895e-09,4.293884220000000253e-09,4.293882009999999714e-09
1.041699999999999918e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199323039999999823e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501309000000000449e-01,5.344622540000000255e-01,7.502617780000000458e-01,5.317604550000000208e-01,3.287223650000000053e+00,4.199316430000000363e-09,4.199316430000000363e-09,4.199316430000000363e-09,4.199316430000000363e-09,4.199316430000000363e-09,4.199316430000000363e-09,4.199316430000000363e-09,4.293884540000000024e-09,4.293890049999999961e-09
1.064100000000000115e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199323339999999918e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501337150000000342e-01,5.343691940000000473e-01,7.502674059999999701e-01,5.315750519999999923e-01,3.290188239999999986e+00,4.199323399999999772e-09,4.199323399999999772e-09,4.199323399999999772e-09,4.199323399999999772e-09,4.199323399999999772e-09,4.199323399999999772e-09,4.199323399999999772e-09,4.293885510000000002e-09,4.293888589999999661e-09
