time_ms,vin,vout1,vout2,vout3,vout4
1.027999999999999921e-02,7.506454620000000411e-01,5.142302269999999842e-01,5.142302269999999842e-01,5.142302269999999842e-01,5.142302269999999842e-01
1.128000000000000010e-02,7.507081500000000185e-01,5.120685630000000321e-01,5.120685630000000321e-01,5.120685630000000321e-01,5.120685630000000321e-01
1.227999999999999925e-02,7.507708100000000107e-01,5.099224470000000009e-01,5.099224470000000009e-01,5.099224470000000009e-01,5.099224470000000009e-01
1.328000000000000014e-02,7.508334389999999914e-01,5.077920590000000178e-01,5.077920590000000178e-01,5.077920590000000178e-01,5.077920590000000178e-01
1.428000000000000103e-02,7.508960350000000172e-01,5.056775709999999924e-01,5.056775709999999924e-01,5.056775709999999924e-01,5.056775709999999924e-01
1.528000000000000018e-02,7.509585970000000055e-01,5.035791530000000016e-01,5.035791530000000016e-01,5.035791530000000016e-01,5.035791530000000016e-01
1.627999999999999933e-02,7.510211199999999865e-01,5.014969689999999591e-01,5.014969689999999591e-01,5.014969689999999591e-01,5.014969689999999591e-01
1.728000000000000022e-02,7.510836029999999885e-01,4.994311779999999756e-01,4.994311779999999756e-01,4.994311779999999756e-01,4.994311779999999756e-01
1.828000000000000111e-02,7.511460429999999855e-01,4.973819320000000266e-01,4.973819320000000266e-01,4.973819320000000266e-01,4.973819320000000266e-01
1.927999999999999853e-02,7.512084369999999511e-01,4.953493769999999796e-01,4.953493769999999796e-01,4.953493769999999796e-01,4.953493769999999796e-01
2.027999999999999942e-02,7.512707849999999965e-01,4.933336540000000103e-01,4.933336540000000103e-01,4.933336540000000103e-01,4.933336540000000103e-01
2.128000000000000030e-02,7.513330820000000410e-01,4.913348969999999927e-01,4.913348969999999927e-01,4.913348969999999927e-01,4.913348969999999927e-01
2.228000000000000119e-02,7.513953260000000300e-01,4.893532329999999986e-01,4.893532329999999986e-01,4.893532329999999986e-01,4.893532329999999986e-01
2.328000000000000208e-02,7.514575150000000203e-01,4.873887829999999921e-01,4.873887829999999921e-01,4.873887829999999921e-01,4.873887829999999921e-01
2.428000000000000297e-02,7.515196469999999573e-01,4.854416599999999971e-01,4.854416599999999971e-01,4.854416599999999971e-01,4.854416599999999971e-01
2.527999999999999692e-02,7.515817190000000370e-01,4.835119709999999849e-01,4.835119709999999849e-01,4.835119709999999849e-01,4.835119709999999849e-01
2.627999999999999781e-02,7.516437280000000110e-01,4.815998149999999867e-01,4.815998149999999867e-01,4.815998149999999867e-01,4.815998149999999867e-01
2.727999999999999869e-02,7.517056720000000469e-01,4.797052829999999823e-01,4.797052829999999823e-01,4.797052829999999823e-01,4.797052829999999823e-01
2.827999999999999958e-02,7.517675489999999794e-01,4.778284600000000104e-01,4.778284600000000104e-01,4.778284600000000104e-01,4.778284600000000104e-01
2.928000000000000047e-02,7.518293560000000042e-01,4.759694199999999764e-01,4.759694199999999764e-01,4.759694199999999764e-01,4.759694199999999764e-01
3.028000000000000136e-02,7.518910920000000386e-01,4.741282330000000100e-01,4.741282330000000100e-01,4.741282330000000100e-01,4.741282330000000100e-01
3.127999999999999531e-02,7.519527520000000020e-01,4.723049590000000242e-01,4.723049590000000242e-01,4.723049590000000242e-01,4.723049590000000242e-01
3.228000000000000314e-02,7.520143350000000337e-01,4.704996490000000198e-01,4.704996490000000198e-01,4.704996490000000198e-01,4.704996490000000198e-01
3.327999999999999708e-02,7.520758389999999682e-01,4.687123480000000009e-01,4.687123480000000009e-01,4.687123480000000009e-01,4.687123480000000009e-01
3.427999999999999797e-02,7.521372610000000014e-01,4.669430900000000051e-01,4.669430900000000051e-01,4.669430900000000051e-01,4.669430900000000051e-01
3.527999999999999886e-02,7.521985979999999961e-01,4.651919039999999894e-01,4.651919039999999894e-01,4.651919039999999894e-01,4.651919039999999894e-01
3.627999999999999975e-02,7.522598489999999805e-01,4.634588090000000271e-01,4.634588090000000271e-01,4.634588090000000271e-01,4.634588090000000271e-01
3.728000000000000064e-02,7.523210099999999567e-01,4.617438159999999736e-01,4.617438159999999736e-01,4.617438159999999736e-01,4.617438159999999736e-01
3.828000000000000153e-02,7.523820799999999531e-01,4.600469269999999944e-01,4.600469269999999944e-01,4.600469269999999944e-01,4.600469269999999944e-01
3.927999999999999547e-02,7.524430560000000545e-01,4.583681370000000088e-01,4.583681370000000088e-01,4.583681370000000088e-01,4.583681370000000088e-01
4.028000000000000330e-02,7.525039350000000127e-01,4.567074329999999960e-01,4.567074329999999960e-01,4.567074329999999960e-01,4.567074329999999960e-01
4.127999999999999725e-02,7.525647159999999669e-01,4.550647919999999957e-01,4.550647919999999957e-01,4.550647919999999957e-01,4.550647919999999957e-01
4.228000000000000508e-02,7.526253950000000303e-01,4.534401860000000228e-01,4.534401860000000228e-01,4.534401860000000228e-01,4.534401860000000228e-01
4.327999999999999903e-02,7.526859700000000375e-01,4.518335769999999862e-01,4.518335769999999862e-01,4.518335769999999862e-01,4.518335769999999862e-01
4.427999999999999992e-02,7.527464400000000166e-01,4.502449199999999929e-01,4.502449199999999929e-01,4.502449199999999929e-01,4.502449199999999929e-01
4.528000000000000080e-02,7.528068009999999699e-01,4.486741619999999875e-01,4.486741619999999875e-01,4.486741619999999875e-01,4.486741619999999875e-01
4.627999999999999475e-02,7.528670509999999538e-01,4.471212450000000005e-01,4.471212450000000005e-01,4.471212450000000005e-01,4.471212450000000005e-01
4.728000000000000258e-02,7.529271889999999967e-01,4.455860999999999850e-01,4.455860999999999850e-01,4.455860999999999850e-01,4.455860999999999850e-01
4.827999999999999653e-02,7.529872100000000179e-01,4.440686529999999799e-01,4.440686529999999799e-01,4.440686529999999799e-01,4.440686529999999799e-01
4.928000000000000436e-02,7.530471140000000174e-01,4.425688249999999990e-01,4.425688249999999990e-01,4.425688249999999990e-01,4.425688249999999990e-01
5.027999999999999831e-02,7.531068969999999974e-01,4.410865279999999777e-01,4.410865279999999777e-01,4.410865279999999777e-01,4.410865279999999777e-01
5.127999999999999919e-02,7.531665579999999860e-01,4.396216680000000210e-01,4.396216680000000210e-01,4.396216680000000210e-01,4.396216680000000210e-01
5.228000000000000008e-02,7.532260929999999854e-01,4.381741450000000149e-01,4.381741450000000149e-01,4.381741450000000149e-01,4.381741450000000149e-01
5.328000000000000097e-02,7.532855019999999957e-01,4.367438550000000141e-01,4.367438550000000141e-01,4.367438550000000141e-01,4.367438550000000141e-01
5.428000000000000186e-02,7.533447800000000472e-01,4.353306860000000222e-01,4.353306860000000222e-01,4.353306860000000222e-01,4.353306860000000222e-01
5.527999999999999581e-02,7.534039270000000288e-01,4.339345219999999892e-01,4.339345219999999892e-01,4.339345219999999892e-01,4.339345219999999892e-01
5.628000000000000363e-02,7.534629390000000537e-01,4.325552420000000065e-01,4.325552420000000065e-01,4.325552420000000065e-01,4.325552420000000065e-01
5.727999999999999758e-02,7.535218139999999565e-01,4.311927199999999738e-01,4.311927199999999738e-01,4.311927199999999738e-01,4.311927199999999738e-01
5.827999999999999847e-02,7.535805509999999874e-01,4.298468249999999879e-01,4.298468249999999879e-01,4.298468249999999879e-01,4.298468249999999879e-01
5.927999999999999936e-02,7.536391460000000375e-01,4.285174219999999812e-01,4.285174219999999812e-01,4.285174219999999812e-01,4.285174219999999812e-01
6.028000000000000025e-02,7.536975970000000524e-01,4.272043739999999978e-01,4.272043739999999978e-01,4.272043739999999978e-01,4.272043739999999978e-01
6.127999999999999420e-02,7.537559029999999494e-01,4.259075370000000027e-01,4.259075370000000027e-01,4.259075370000000027e-01,4.259075370000000027e-01
6.227999999999999509e-02,7.538140599999999525e-01,4.246267659999999888e-01,4.246267659999999888e-01,4.246267659999999888e-01,4.246267659999999888e-01
6.328000000000000291e-02,7.538720660000000073e-01,4.233619129999999786e-01,4.233619129999999786e-01,4.233619129999999786e-01,4.233619129999999786e-01
6.428000000000000380e-02,7.539299200000000312e-01,4.221128259999999965e-01,4.221128259999999965e-01,4.221128259999999965e-01,4.221128259999999965e-01
6.528000000000000469e-02,7.539876189999999978e-01,4.208793499999999854e-01,4.208793499999999854e-01,4.208793499999999854e-01,4.208793499999999854e-01
6.627999999999999170e-02,7.540451599999999921e-01,4.196613299999999991e-01,4.196613299999999991e-01,4.196613299999999991e-01,4.196613299999999991e-01
6.728000000000000647e-02,7.541025409999999596e-01,4.184586060000000107e-01,4.184586060000000107e-01,4.184586060000000107e-01,4.184586060000000107e-01
6.828000000000000735e-02,7.541597610000000396e-01,4.172710190000000208e-01,4.172710190000000208e-01,4.172710190000000208e-01,4.172710190000000208e-01
6.927999999999999436e-02,7.542168160000000121e-01,4.160984059999999762e-01,4.160984059999999762e-01,4.160984059999999762e-01,4.160984059999999762e-01
7.027999999999999525e-02,7.542737050000000165e-01,4.149406039999999907e-01,4.149406039999999907e-01,4.149406039999999907e-01,4.149406039999999907e-01
7.127999999999999614e-02,7.543304250000000266e-01,4.137974489999999839e-01,4.137974489999999839e-01,4.137974489999999839e-01,4.137974489999999839e-01
7.228000000000001091e-02,7.543869739999999879e-01,4.126687749999999877e-01,4.126687749999999877e-01,4.126687749999999877e-01,4.126687749999999877e-01
7.327999999999999792e-02,7.544433499999999571e-01,4.115544170000000057e-01,4.115544170000000057e-01,4.115544170000000057e-01,4.115544170000000057e-01
7.427999999999999881e-02,7.544995500000000188e-01,4.104542070000000153e-01,4.104542070000000153e-01,4.104542070000000153e-01,4.104542070000000153e-01
7.527999999999999969e-02,7.545555729999999794e-01,4.093679800000000202e-01,4.093679800000000202e-01,4.093679800000000202e-01,4.093679800000000202e-01
7.628000000000000058e-02,7.546114160000000348e-01,4.082955679999999976e-01,4.082955679999999976e-01,4.082955679999999976e-01,4.082955679999999976e-01
7.728000000000000147e-02,7.546670770000000195e-01,4.072368029999999806e-01,4.072368029999999806e-01,4.072368029999999806e-01,4.072368029999999806e-01
7.828000000000000236e-02,7.547225539999999899e-01,4.061915209999999998e-01,4.061915209999999998e-01,4.061915209999999998e-01,4.061915209999999998e-01
7.928000000000000325e-02,7.547778440000000311e-01,4.051595530000000056e-01,4.051595530000000056e-01,4.051595530000000056e-01,4.051595530000000056e-01
8.027999999999999026e-02,7.548329459999999491e-01,4.041407340000000015e-01,4.041407340000000015e-01,4.041407340000000015e-01,4.041407340000000015e-01
8.127999999999999114e-02,7.548878570000000510e-01,4.031349000000000182e-01,4.031349000000000182e-01,4.031349000000000182e-01,4.031349000000000182e-01
8.228000000000000591e-02,7.549425749999999491e-01,4.021418849999999767e-01,4.021418849999999767e-01,4.021418849999999767e-01,4.021418849999999767e-01
8.328000000000000680e-02,7.549970980000000331e-01,4.011615270000000177e-01,4.011615270000000177e-01,4.011615270000000177e-01,4.011615270000000177e-01
8.427999999999999381e-02,7.550514230000000548e-01,4.001936620000000056e-01,4.001936620000000056e-01,4.001936620000000056e-01,4.001936620000000056e-01
8.527999999999999470e-02,7.551055490000000425e-01,3.992381300000000244e-01,3.992381300000000244e-01,3.992381300000000244e-01,3.992381300000000244e-01
8.627999999999999559e-02,7.551594740000000527e-01,3.982947700000000202e-01,3.982947700000000202e-01,3.982947700000000202e-01,3.982947700000000202e-01
8.728000000000001035e-02,7.552131949999999483e-01,3.973634240000000206e-01,3.973634240000000206e-01,3.973634240000000206e-01,3.973634240000000206e-01
8.827999999999999736e-02,7.552667100000000078e-01,3.964439339999999978e-01,3.964439339999999978e-01,3.964439339999999978e-01,3.964439339999999978e-01
8.927999999999999825e-02,7.553200169999999547e-01,3.955361439999999784e-01,3.955361439999999784e-01,3.955361439999999784e-01,3.955361439999999784e-01
9.027999999999999914e-02,7.553731139999999566e-01,3.946398999999999879e-01,3.946398999999999879e-01,3.946398999999999879e-01,3.946398999999999879e-01
9.128000000000000003e-02,7.554259989999999592e-01,3.937550499999999953e-01,3.937550499999999953e-01,3.937550499999999953e-01,3.937550499999999953e-01
9.228000000000000091e-02,7.554786700000000188e-01,3.928814409999999979e-01,3.928814409999999979e-01,3.928814409999999979e-01,3.928814409999999979e-01
9.328000000000000180e-02,7.555311239999999984e-01,3.920189259999999898e-01,3.920189259999999898e-01,3.920189259999999898e-01,3.920189259999999898e-01
9.428000000000000269e-02,7.555833600000000372e-01,3.911673569999999933e-01,3.911673569999999933e-01,3.911673569999999933e-01,3.911673569999999933e-01
9.527999999999998970e-02,7.556353759999999697e-01,3.903265870000000026e-01,3.903265870000000026e-01,3.903265870000000026e-01,3.903265870000000026e-01
9.628000000000000447e-02,7.556871689999999919e-01,3.894964730000000097e-01,3.894964730000000097e-01,3.894964730000000097e-01,3.894964730000000097e-01
9.728000000000000536e-02,7.557387380000000210e-01,3.886768729999999783e-01,3.886768729999999783e-01,3.886768729999999783e-01,3.886768729999999783e-01
9.828000000000000624e-02,7.557900800000000308e-01,3.878676480000000093e-01,3.878676480000000093e-01,3.878676480000000093e-01,3.878676480000000093e-01
9.927999999999999325e-02,7.558411929999999668e-01,3.870686589999999816e-01,3.870686589999999816e-01,3.870686589999999816e-01,3.870686589999999816e-01
1.002799999999999941e-01,7.558920759999999683e-01,3.862797689999999950e-01,3.862797689999999950e-01,3.862797689999999950e-01,3.862797689999999950e-01
1.012800000000000089e-01,7.559427269999999810e-01,3.855008460000000081e-01,3.855008460000000081e-01,3.855008460000000081e-01,3.855008460000000081e-01
1.022800000000000098e-01,7.559931420000000069e-01,3.847317559999999803e-01,3.847317559999999803e-01,3.847317559999999803e-01,3.847317559999999803e-01
1.032799999999999968e-01,7.560433220000000176e-01,3.839723700000000073e-01,3.839723700000000073e-01,3.839723700000000073e-01,3.839723700000000073e-01
1.042799999999999977e-01,7.560932620000000437e-01,3.832225599999999899e-01,3.832225599999999899e-01,3.832225599999999899e-01,3.832225599999999899e-01
1.052799999999999986e-01,7.561429619999999741e-01,3.824821990000000227e-01,3.824821990000000227e-01,3.824821990000000227e-01,3.824821990000000227e-01
1.062799999999999995e-01,7.561924199999999763e-01,3.817511630000000045e-01,3.817511630000000045e-01,3.817511630000000045e-01,3.817511630000000045e-01
1.072800000000000004e-01,7.562416330000000242e-01,3.810293310000000266e-01,3.810293310000000266e-01,3.810293310000000266e-01,3.810293310000000266e-01
1.082800000000000012e-01,7.562905989999999523e-01,3.803165820000000141e-01,3.803165820000000141e-01,3.803165820000000141e-01,3.803165820000000141e-01
1.092800000000000021e-01,7.563393179999999827e-01,3.796127990000000008e-01,3.796127990000000008e-01,3.796127990000000008e-01,3.796127990000000008e-01
1.102799999999999891e-01,7.563877860000000064e-01,3.789178639999999931e-01,3.789178639999999931e-01,3.789178639999999931e-01,3.789178639999999931e-01
1.112800000000000039e-01,7.564360009999999690e-01,3.782316649999999947e-01,3.782316649999999947e-01,3.782316649999999947e-01,3.782316649999999947e-01
1.122800000000000048e-01,7.564839629999999815e-01,3.775540880000000099e-01,3.775540880000000099e-01,3.775540880000000099e-01,3.775540880000000099e-01
1.132800000000000057e-01,7.565316690000000177e-01,3.768850240000000129e-01,3.768850240000000129e-01,3.768850240000000129e-01,3.768850240000000129e-01
1.142799999999999927e-01,7.565791170000000232e-01,3.762243639999999778e-01,3.762243639999999778e-01,3.762243639999999778e-01,3.762243639999999778e-01
1.152799999999999936e-01,7.566263050000000545e-01,3.755720020000000159e-01,3.755720020000000159e-01,3.755720020000000159e-01,3.755720020000000159e-01
1.162800000000000084e-01,7.566732320000000289e-01,3.749278340000000154e-01,3.749278340000000154e-01,3.749278340000000154e-01,3.749278340000000154e-01
1.172799999999999954e-01,7.567198950000000313e-01,3.742917570000000027e-01,3.742917570000000027e-01,3.742917570000000027e-01,3.742917570000000027e-01
1.182799999999999963e-01,7.567662929999999788e-01,3.736636700000000033e-01,3.736636700000000033e-01,3.736636700000000033e-01,3.736636700000000033e-01
1.192799999999999971e-01,7.568124229999999564e-01,3.730434750000000133e-01,3.730434750000000133e-01,3.730434750000000133e-01,3.730434750000000133e-01
1.202799999999999980e-01,7.568582849999999640e-01,3.724310730000000014e-01,3.724310730000000014e-01,3.724310730000000014e-01,3.724310730000000014e-01
1.212799999999999989e-01,7.569038759999999755e-01,3.718263709999999889e-01,3.718263709999999889e-01,3.718263709999999889e-01,3.718263709999999889e-01
1.222799999999999998e-01,7.569491950000000191e-01,3.712292739999999980e-01,3.712292739999999980e-01,3.712292739999999980e-01,3.712292739999999980e-01
1.232800000000000007e-01,7.569942389999999577e-01,3.706396920000000206e-01,3.706396920000000206e-01,3.706396920000000206e-01,3.706396920000000206e-01
1.242800000000000016e-01,7.570390070000000415e-01,3.700575320000000223e-01,3.700575320000000223e-01,3.700575320000000223e-01,3.700575320000000223e-01
1.252800000000000025e-01,7.570834969999999942e-01,3.694827090000000203e-01,3.694827090000000203e-01,3.694827090000000203e-01,3.694827090000000203e-01
1.262800000000000034e-01,7.571277069999999831e-01,3.689151339999999779e-01,3.689151339999999779e-01,3.689151339999999779e-01,3.689151339999999779e-01
1.272799999999999765e-01,7.571716370000000085e-01,3.683547220000000233e-01,3.683547220000000233e-01,3.683547220000000233e-01,3.683547220000000233e-01
1.282800000000000051e-01,7.572152819999999895e-01,3.678013920000000048e-01,3.678013920000000048e-01,3.678013920000000048e-01,3.678013920000000048e-01
1.292800000000000060e-01,7.572586439999999808e-01,3.672550589999999948e-01,3.672550589999999948e-01,3.672550589999999948e-01,3.672550589999999948e-01
1.302800000000000069e-01,7.573017180000000126e-01,3.667156449999999790e-01,3.667156449999999790e-01,3.667156449999999790e-01,3.667156449999999790e-01
1.312800000000000078e-01,7.573445039999999739e-01,3.661830710000000266e-01,3.661830710000000266e-01,3.661830710000000266e-01,3.661830710000000266e-01
1.322800000000000087e-01,7.573870010000000041e-01,3.656572590000000123e-01,3.656572590000000123e-01,3.656572590000000123e-01,3.656572590000000123e-01
1.332800000000000096e-01,7.574292059999999660e-01,3.651381349999999748e-01,3.651381349999999748e-01,3.651381349999999748e-01,3.651381349999999748e-01
1.342799999999999827e-01,7.574711170000000271e-01,3.646256230000000098e-01,3.646256230000000098e-01,3.646256230000000098e-01,3.646256230000000098e-01
1.352799999999999836e-01,7.575127329999999937e-01,3.641196509999999886e-01,3.641196509999999886e-01,3.641196509999999886e-01,3.641196509999999886e-01
1.362799999999999845e-01,7.575540530000000050e-01,3.636201479999999764e-01,3.636201479999999764e-01,3.636201479999999764e-01,3.636201479999999764e-01
1.372799999999999854e-01,7.575950750000000067e-01,3.631270440000000099e-01,3.631270440000000099e-01,3.631270440000000099e-01,3.631270440000000099e-01
1.382800000000000140e-01,7.576357970000000552e-01,3.626402699999999868e-01,3.626402699999999868e-01,3.626402699999999868e-01,3.626402699999999868e-01
1.392800000000000149e-01,7.576762169999999852e-01,3.621597590000000255e-01,3.621597590000000255e-01,3.621597590000000255e-01,3.621597590000000255e-01
1.402800000000000158e-01,7.577163350000000186e-01,3.616854460000000215e-01,3.616854460000000215e-01,3.616854460000000215e-01,3.616854460000000215e-01
1.412799999999999889e-01,7.577561470000000465e-01,3.612172659999999813e-01,3.612172659999999813e-01,3.612172659999999813e-01,3.612172659999999813e-01
1.422799999999999898e-01,7.577956540000000407e-01,3.607551549999999940e-01,3.607551549999999940e-01,3.607551549999999940e-01,3.607551549999999940e-01
1.432799999999999907e-01,7.578348529999999750e-01,3.602990520000000085e-01,3.602990520000000085e-01,3.602990520000000085e-01,3.602990520000000085e-01
1.442799999999999916e-01,7.578737420000000169e-01,3.598488959999999737e-01,3.598488959999999737e-01,3.598488959999999737e-01,3.598488959999999737e-01
1.452799999999999925e-01,7.579123210000000554e-01,3.594046269999999765e-01,3.594046269999999765e-01,3.594046269999999765e-01,3.594046269999999765e-01
1.462799999999999934e-01,7.579505869999999534e-01,3.589661869999999921e-01,3.589661869999999921e-01,3.589661869999999921e-01,3.589661869999999921e-01
1.472800000000000220e-01,7.579885389999999612e-01,3.585335190000000227e-01,3.585335190000000227e-01,3.585335190000000227e-01,3.585335190000000227e-01
1.482800000000000229e-01,7.580261759999999960e-01,3.581065669999999868e-01,3.581065669999999868e-01,3.581065669999999868e-01,3.581065669999999868e-01
1.492799999999999960e-01,7.580634960000000033e-01,3.576852759999999964e-01,3.576852759999999964e-01,3.576852759999999964e-01,3.576852759999999964e-01
1.502799999999999969e-01,7.581004980000000115e-01,3.572695920000000247e-01,3.572695920000000247e-01,3.572695920000000247e-01,3.572695920000000247e-01
1.512799999999999978e-01,7.581371799999999661e-01,3.568594620000000162e-01,3.568594620000000162e-01,3.568594620000000162e-01,3.568594620000000162e-01
1.522799999999999987e-01,7.581735410000000064e-01,3.564548350000000254e-01,3.564548350000000254e-01,3.564548350000000254e-01,3.564548350000000254e-01
1.532799999999999996e-01,7.582095789999999669e-01,3.560556599999999960e-01,3.560556599999999960e-01,3.560556599999999960e-01,3.560556599999999960e-01
1.542800000000000005e-01,7.582452929999999869e-01,3.556618879999999816e-01,3.556618879999999816e-01,3.556618879999999816e-01,3.556618879999999816e-01
1.552800000000000014e-01,7.582806819999999837e-01,3.552734699999999801e-01,3.552734699999999801e-01,3.552734699999999801e-01,3.552734699999999801e-01
1.562799999999999745e-01,7.583157430000000421e-01,3.548895269999999824e-01,3.548895269999999824e-01,3.548895269999999824e-01,3.548895269999999824e-01
1.572800000000000031e-01,7.583504760000000511e-01,3.545116719999999999e-01,3.545116719999999999e-01,3.545116719999999999e-01,3.545116719999999999e-01
1.582800000000000040e-01,7.583848800000000390e-01,3.541398459999999804e-01,3.541398459999999804e-01,3.541398459999999804e-01,3.541398459999999804e-01
1.592800000000000049e-01,7.584189529999999513e-01,3.537724050000000120e-01,3.537724050000000120e-01,3.537724050000000120e-01,3.537724050000000120e-01
1.602800000000000058e-01,7.584526929999999556e-01,3.534100550000000007e-01,3.534100550000000007e-01,3.534100550000000007e-01,3.534100550000000007e-01
1.612800000000000067e-01,7.584860989999999692e-01,3.530527940000000031e-01,3.530527940000000031e-01,3.530527940000000031e-01,3.530527940000000031e-01
1.622800000000000076e-01,7.585191709999999921e-01,3.527005739999999889e-01,3.527005739999999889e-01,3.527005739999999889e-01,3.527005739999999889e-01
1.632800000000000085e-01,7.585519059999999980e-01,3.523533529999999803e-01,3.523533529999999803e-01,3.523533529999999803e-01,3.523533529999999803e-01
1.642799999999999816e-01,7.585843039999999871e-01,3.520110909999999982e-01,3.520110909999999982e-01,3.520110909999999982e-01,3.520110909999999982e-01
1.652799999999999825e-01,7.586163620000000440e-01,3.516737480000000082e-01,3.516737480000000082e-01,3.516737480000000082e-01,3.516737480000000082e-01
1.662799999999999834e-01,7.586480810000000297e-01,3.513412870000000021e-01,3.513412870000000021e-01,3.513412870000000021e-01,3.513412870000000021e-01
1.672800000000000120e-01,7.586794580000000288e-01,3.510136680000000009e-01,3.510136680000000009e-01,3.510136680000000009e-01,3.510136680000000009e-01
1.682800000000000129e-01,7.587104930000000413e-01,3.506902610000000031e-01,3.506902610000000031e-01,3.506902610000000031e-01,3.506902610000000031e-01
1.692800000000000138e-01,7.587411830000000412e-01,3.503727919999999885e-01,3.503727919999999885e-01,3.503727919999999885e-01,3.503727919999999885e-01
1.702800000000000147e-01,7.587715290000000001e-01,3.500595060000000203e-01,3.500595060000000203e-01,3.500595060000000203e-01,3.500595060000000203e-01
1.712799999999999878e-01,7.588015280000000029e-01,3.497508919999999799e-01,3.497508919999999799e-01,3.497508919999999799e-01,3.497508919999999799e-01
1.722799999999999887e-01,7.588311800000000495e-01,3.494469459999999805e-01,3.494469459999999805e-01,3.494469459999999805e-01,3.494469459999999805e-01
1.732799999999999896e-01,7.588604829999999746e-01,3.491476330000000128e-01,3.491476330000000128e-01,3.491476330000000128e-01,3.491476330000000128e-01
1.742799999999999905e-01,7.588894360000000283e-01,3.488529180000000118e-01,3.488529180000000118e-01,3.488529180000000118e-01,3.488529180000000118e-01
1.752799999999999914e-01,7.589180380000000170e-01,3.485622879999999979e-01,3.485622879999999979e-01,3.485622879999999979e-01,3.485622879999999979e-01
1.762800000000000200e-01,7.589462890000000517e-01,3.482766769999999790e-01,3.482766769999999790e-01,3.482766769999999790e-01,3.482766769999999790e-01
1.772800000000000209e-01,7.589741859999999951e-01,3.479960389999999792e-01,3.479960389999999792e-01,3.479960389999999792e-01,3.479960389999999792e-01
1.782799999999999940e-01,7.590017289999999583e-01,3.477194220000000002e-01,3.477194220000000002e-01,3.477194220000000002e-01,3.477194220000000002e-01
1.792799999999999949e-01,7.590289159999999979e-01,3.474472330000000220e-01,3.474472330000000220e-01,3.474472330000000220e-01,3.474472330000000220e-01
1.802799999999999958e-01,7.590557470000000029e-01,3.471794639999999932e-01,3.471794639999999932e-01,3.471794639999999932e-01,3.471794639999999932e-01
1.812799999999999967e-01,7.590822210000000014e-01,3.469160840000000134e-01,3.469160840000000134e-01,3.469160840000000134e-01,3.469160840000000134e-01
1.822799999999999976e-01,7.591083360000000502e-01,3.466566799999999948e-01,3.466566799999999948e-01,3.466566799999999948e-01,3.466566799999999948e-01
1.832799999999999985e-01,7.591340909999999553e-01,3.464019979999999888e-01,3.464019979999999888e-01,3.464019979999999888e-01,3.464019979999999888e-01
1.842799999999999994e-01,7.591594860000000500e-01,3.461519969999999891e-01,3.461519969999999891e-01,3.461519969999999891e-01,3.461519969999999891e-01
1.852800000000000002e-01,7.591845189999999466e-01,3.459059159999999800e-01,3.459059159999999800e-01,3.459059159999999800e-01,3.459059159999999800e-01
