 time            v(clock)        v(reset_n)      v(vout_RF)      v(vout_RF_filt)
 3.26590057e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.72646427e-11 
 3.39688573e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.63037039e-11 
 3.45665640e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.58958606e-11 
 3.49691864e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.56195012e-11 
 3.52508220e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.54386684e-11 
 3.55186884e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.52592098e-11 
 3.58534980e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.50495320e-11 
 3.62099862e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.48205043e-11 
 3.66348617e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.45631744e-11 
 3.70491331e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.43088053e-11 
 3.75263958e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.40318654e-11 
 3.79643668e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.37752781e-11 
 3.84890150e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.34844536e-11 
 3.90409889e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.31781215e-11 
 3.95706100e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.28997961e-11 
 4.01637172e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.25878801e-11 
 4.08605403e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.22409433e-11 
 4.16891390e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.18341708e-11 
 4.26648278e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.13824425e-11 
 4.28125110e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.13135214e-11 
 4.31078774e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11802579e-11 
 4.31817190e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11472850e-11 
 4.32001794e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11390406e-11 
 4.32371002e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11225749e-11 
 4.32463304e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11184726e-11 
 4.32647908e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11102666e-11 
 4.32694059e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11082270e-11 
 4.32786361e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.11041466e-11 
 4.32970965e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10959523e-11 
 4.33017116e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10939030e-11 
 4.33017297e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10939079e-11 
 4.33017657e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10939123e-11 
 4.33018378e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10938996e-11 
 4.33018381e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10939138e-11 
 4.33018387e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10939443e-11 
 4.33018388e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10939657e-11 
 4.33018391e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10940101e-11 
 4.33018392e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10940131e-11 
 4.33018393e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10940182e-11 
 4.33018393e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10940008e-11 
 4.33018394e-09  3.30000000e+00  3.30000000e+00  3.51531737e-01 -1.10939695e-11 
