time_ms,vin,vout1,vout2,vout3,vout4
5.927999999999999936e-02,7.536391460000000375e-01,4.329394590000000265e-01,4.329852639999999808e-01,4.329861950000000181e-01,4.329389739999999764e-01
6.028000000000000025e-02,7.536975970000000524e-01,4.315913239999999984e-01,4.316366899999999895e-01,4.316376120000000038e-01,4.315908439999999735e-01
6.127999999999999420e-02,7.537559029999999494e-01,4.302597550000000215e-01,4.303046859999999918e-01,4.303055989999999831e-01,4.302592789999999945e-01
6.227999999999999509e-02,7.538140599999999525e-01,4.289446120000000029e-01,4.289891129999999775e-01,4.289900170000000013e-01,4.289441410000000010e-01
6.328000000000000291e-02,7.538720660000000073e-01,4.276457539999999891e-01,4.276898290000000213e-01,4.276907249999999938e-01,4.276452869999999851e-01
6.428000000000000380e-02,7.539299200000000312e-01,4.263630350000000013e-01,4.264066890000000054e-01,4.264075749999999831e-01,4.263625719999999952e-01
6.528000000000000469e-02,7.539876189999999978e-01,4.250963050000000076e-01,4.251395430000000086e-01,4.251404209999999906e-01,4.250958470000000267e-01
6.627999999999999170e-02,7.540451599999999921e-01,4.238454139999999759e-01,4.238882400000000272e-01,4.238891100000000134e-01,4.238449610000000201e-01
6.728000000000000647e-02,7.541025409999999596e-01,4.226102070000000155e-01,4.226526259999999757e-01,4.226534869999999944e-01,4.226097580000000020e-01
6.828000000000000735e-02,7.541597610000000396e-01,4.213905279999999864e-01,4.214325440000000200e-01,4.214333969999999874e-01,4.213900830000000264e-01
6.927999999999999436e-02,7.542168160000000121e-01,4.201862180000000002e-01,4.202278360000000212e-01,4.202286809999999928e-01,4.201857769999999825e-01
7.027999999999999525e-02,7.542737050000000165e-01,4.189971160000000028e-01,4.190383409999999809e-01,4.190391780000000121e-01,4.189966789999999830e-01
7.127999999999999614e-02,7.543304250000000266e-01,4.178230600000000239e-01,4.178638969999999841e-01,4.178647260000000196e-01,4.178226270000000020e-01
7.228000000000001091e-02,7.543869739999999879e-01,4.166638870000000106e-01,4.167043409999999781e-01,4.167051620000000178e-01,4.166634579999999866e-01
7.327999999999999792e-02,7.544433499999999571e-01,4.155194320000000219e-01,4.155595080000000219e-01,4.155603219999999820e-01,4.155190069999999958e-01
7.427999999999999881e-02,7.544995500000000188e-01,4.143895289999999787e-01,4.144292319999999807e-01,4.144300380000000006e-01,4.143891080000000060e-01
7.527999999999999969e-02,7.545555729999999794e-01,4.132740129999999956e-01,4.133133480000000248e-01,4.133141459999999934e-01,4.132735960000000208e-01
7.628000000000000058e-02,7.546114160000000348e-01,4.121727159999999945e-01,4.122116880000000205e-01,4.122124790000000205e-01,4.121723030000000176e-01
7.728000000000000147e-02,7.546670770000000195e-01,4.110854709999999801e-01,4.111240849999999725e-01,4.111248690000000039e-01,4.110850620000000011e-01
7.828000000000000236e-02,7.547225539999999899e-01,4.100121110000000124e-01,4.100503719999999963e-01,4.100511479999999764e-01,4.100117050000000041e-01
7.928000000000000325e-02,7.547778440000000311e-01,4.089524680000000134e-01,4.089903810000000139e-01,4.089911500000000255e-01,4.089520669999999747e-01
8.027999999999999026e-02,7.548329459999999491e-01,4.079063760000000149e-01,4.079439460000000017e-01,4.079447079999999892e-01,4.079059780000000024e-01
8.127999999999999114e-02,7.548878570000000510e-01,4.068736680000000216e-01,4.069108989999999926e-01,4.069116549999999832e-01,4.068732729999999798e-01
8.228000000000000591e-02,7.549425749999999491e-01,4.058541769999999826e-01,4.058910749999999901e-01,4.058918240000000122e-01,4.058537859999999942e-01
8.328000000000000680e-02,7.549970980000000331e-01,4.048477380000000125e-01,4.048843080000000261e-01,4.048850500000000241e-01,4.048473499999999947e-01
8.427999999999999381e-02,7.550514230000000548e-01,4.038541849999999767e-01,4.038904320000000214e-01,4.038911669999999954e-01,4.038538019999999840e-01
8.527999999999999470e-02,7.551055490000000425e-01,4.028733560000000158e-01,4.029092850000000059e-01,4.029100130000000113e-01,4.028729759999999938e-01
8.627999999999999559e-02,7.551594740000000527e-01,4.019050869999999942e-01,4.019407019999999831e-01,4.019414239999999916e-01,4.019047099999999983e-01
8.728000000000001035e-02,7.552131949999999483e-01,4.009492170000000244e-01,4.009845229999999816e-01,4.009852380000000216e-01,4.009488429999999992e-01
8.827999999999999736e-02,7.552667100000000078e-01,4.000055840000000251e-01,4.000405850000000041e-01,4.000412950000000190e-01,4.000052130000000261e-01
8.927999999999999825e-02,7.553200169999999547e-01,3.990740289999999968e-01,3.991087309999999944e-01,3.991094350000000124e-01,3.990736619999999957e-01
9.027999999999999914e-02,7.553731139999999566e-01,3.981543949999999943e-01,3.981888029999999801e-01,3.981894999999999740e-01,3.981540310000000193e-01
9.128000000000000003e-02,7.554259989999999592e-01,3.972465250000000170e-01,3.972806429999999889e-01,3.972813339999999860e-01,3.972461640000000127e-01
9.228000000000000091e-02,7.554786700000000188e-01,3.963502649999999794e-01,3.963840969999999908e-01,3.963847819999999911e-01,3.963499059999999741e-01
9.328000000000000180e-02,7.555311239999999984e-01,3.954654599999999909e-01,3.954990110000000114e-01,3.954996909999999866e-01,3.954651049999999834e-01
9.428000000000000269e-02,7.555833600000000372e-01,3.945919600000000194e-01,3.946252339999999914e-01,3.946259089999999969e-01,3.945916079999999826e-01
9.527999999999998970e-02,7.556353759999999697e-01,3.937296140000000055e-01,3.937626169999999814e-01,3.937632850000000184e-01,3.937292649999999949e-01
9.628000000000000447e-02,7.556871689999999919e-01,3.928782749999999990e-01,3.929110100000000050e-01,3.929116730000000168e-01,3.928779290000000146e-01
9.728000000000000536e-02,7.557387380000000210e-01,3.920377970000000212e-01,3.920702679999999996e-01,3.920709259999999863e-01,3.920374529999999802e-01
9.828000000000000624e-02,7.557900800000000308e-01,3.912080339999999823e-01,3.912402469999999854e-01,3.912408989999999753e-01,3.912076930000000230e-01
9.927999999999999325e-02,7.558411929999999668e-01,3.903888449999999843e-01,3.904208029999999829e-01,3.904214500000000032e-01,3.903885069999999957e-01
1.002799999999999941e-01,7.558920759999999683e-01,3.895800890000000183e-01,3.896117969999999819e-01,3.896124389999999771e-01,3.895797529999999731e-01
1.012800000000000089e-01,7.559427269999999810e-01,3.887816270000000185e-01,3.888130879999999734e-01,3.888137249999999989e-01,3.887812939999999995e-01
1.022800000000000098e-01,7.559931420000000069e-01,3.879933230000000011e-01,3.880245419999999723e-01,3.880251739999999727e-01,3.879929930000000082e-01
1.032799999999999968e-01,7.560433220000000176e-01,3.872150420000000093e-01,3.872460229999999948e-01,3.872466500000000256e-01,3.872147140000000154e-01
1.042799999999999977e-01,7.560932620000000437e-01,3.864466520000000016e-01,3.864773980000000275e-01,3.864780199999999777e-01,3.864463260000000067e-01
1.052799999999999986e-01,7.561429619999999741e-01,3.856880209999999920e-01,3.857185369999999724e-01,3.857191540000000085e-01,3.856876980000000232e-01
1.062799999999999995e-01,7.561924199999999763e-01,3.849390209999999923e-01,3.849693109999999807e-01,3.849699240000000189e-01,3.849387009999999942e-01
1.072800000000000004e-01,7.562416330000000242e-01,3.841995260000000134e-01,3.842295929999999804e-01,3.842302009999999934e-01,3.841992080000000143e-01
1.082800000000000012e-01,7.562905989999999523e-01,3.834694109999999823e-01,3.834992580000000095e-01,3.834998620000000247e-01,3.834690949999999821e-01
1.092800000000000021e-01,7.563393179999999827e-01,3.827485529999999914e-01,3.827781849999999930e-01,3.827787850000000103e-01,3.827482389999999901e-01
1.102799999999999891e-01,7.563877860000000064e-01,3.820368310000000212e-01,3.820662519999999951e-01,3.820668469999999872e-01,3.820365199999999906e-01
1.112800000000000039e-01,7.564360009999999690e-01,3.813341279999999944e-01,3.813633410000000223e-01,3.813639320000000166e-01,3.813338190000000183e-01
1.122800000000000048e-01,7.564839629999999815e-01,3.806403259999999733e-01,3.806693340000000259e-01,3.806699210000000222e-01,3.806400200000000233e-01
1.132800000000000057e-01,7.565316690000000177e-01,3.799553119999999895e-01,3.799841190000000091e-01,3.799847009999999803e-01,3.799550070000000113e-01
1.142799999999999927e-01,7.565791170000000232e-01,3.792789710000000203e-01,3.793075799999999775e-01,3.793081589999999781e-01,3.792786690000000127e-01
1.152799999999999936e-01,7.566263050000000545e-01,3.786111939999999842e-01,3.786396089999999881e-01,3.786401830000000190e-01,3.786108939999999756e-01
1.162800000000000084e-01,7.566732320000000289e-01,3.779518720000000220e-01,3.779800959999999876e-01,3.779806660000000207e-01,3.779515729999999851e-01
1.172799999999999954e-01,7.567198950000000313e-01,3.773008970000000240e-01,3.773289329999999775e-01,3.773294999999999844e-01,3.773006010000000132e-01
1.182799999999999963e-01,7.567662929999999788e-01,3.766581660000000165e-01,3.766860180000000113e-01,3.766865799999999931e-01,3.766578720000000047e-01
1.192799999999999971e-01,7.568124229999999564e-01,3.760235749999999988e-01,3.760512449999999784e-01,3.760518039999999895e-01,3.760232829999999860e-01
1.202799999999999980e-01,7.568582849999999640e-01,3.753970229999999964e-01,3.754245139999999870e-01,3.754250700000000274e-01,3.753967320000000107e-01
1.212799999999999989e-01,7.569038759999999755e-01,3.747784100000000063e-01,3.748057260000000057e-01,3.748062779999999927e-01,3.747781210000000196e-01
1.222799999999999998e-01,7.569491950000000191e-01,3.741676389999999963e-01,3.741947829999999753e-01,3.741953310000000199e-01,3.741673520000000086e-01
1.232800000000000007e-01,7.569942389999999577e-01,3.735646149999999888e-01,3.735915890000000017e-01,3.735921340000000201e-01,3.735643300000000000e-01
1.242800000000000016e-01,7.570390070000000415e-01,3.729692430000000058e-01,3.729960509999999951e-01,3.729965920000000157e-01,3.729689600000000160e-01
1.252800000000000025e-01,7.570834969999999942e-01,3.723814309999999850e-01,3.724080750000000051e-01,3.724086129999999994e-01,3.723811499999999941e-01
1.262800000000000034e-01,7.571277069999999831e-01,3.718010889999999735e-01,3.718275719999999951e-01,3.718281070000000188e-01,3.718008090000000099e-01
1.272799999999999765e-01,7.571716370000000085e-01,3.712281279999999906e-01,3.712544540000000115e-01,3.712549849999999818e-01,3.712278500000000259e-01
1.282800000000000051e-01,7.572152819999999895e-01,3.706624620000000259e-01,3.706886309999999907e-01,3.706891600000000175e-01,3.706621849999999774e-01
1.292800000000000060e-01,7.572586439999999808e-01,3.701040039999999864e-01,3.701300209999999757e-01,3.701305460000000047e-01,3.701037289999999924e-01
1.302800000000000069e-01,7.573017180000000126e-01,3.695526709999999992e-01,3.695785369999999848e-01,3.695790589999999876e-01,3.695523980000000042e-01
1.312800000000000078e-01,7.573445039999999739e-01,3.690083800000000247e-01,3.690340999999999760e-01,3.690346190000000082e-01,3.690081089999999731e-01
1.322800000000000087e-01,7.573870010000000041e-01,3.684710529999999928e-01,3.684966270000000210e-01,3.684971430000000270e-01,3.684707830000000239e-01
1.332800000000000096e-01,7.574292059999999660e-01,3.679406080000000023e-01,3.679660399999999942e-01,3.679665529999999740e-01,3.679403390000000051e-01
1.342799999999999827e-01,7.574711170000000271e-01,3.674169689999999822e-01,3.674422609999999922e-01,3.674427710000000014e-01,3.674167019999999839e-01
1.352799999999999836e-01,7.575127329999999937e-01,3.669000599999999723e-01,3.669252139999999995e-01,3.669257209999999825e-01,3.668997949999999730e-01
1.362799999999999845e-01,7.575540530000000050e-01,3.663898070000000118e-01,3.664148249999999996e-01,3.664153299999999835e-01,3.663895429999999842e-01
1.372799999999999854e-01,7.575950750000000067e-01,3.658861359999999729e-01,3.659110210000000030e-01,3.659115230000000163e-01,3.658858729999999726e-01
1.382800000000000140e-01,7.576357970000000552e-01,3.653889750000000047e-01,3.654137299999999922e-01,3.654142289999999793e-01,3.653887140000000033e-01
1.392800000000000149e-01,7.576762169999999852e-01,3.648982559999999764e-01,3.649228820000000040e-01,3.649233780000000205e-01,3.648979960000000022e-01
1.402800000000000158e-01,7.577163350000000186e-01,3.644139080000000086e-01,3.644384079999999915e-01,3.644389020000000090e-01,3.644136499999999779e-01
1.412799999999999889e-01,7.577561470000000465e-01,3.639358650000000250e-01,3.639602410000000177e-01,3.639607320000000090e-01,3.639356080000000215e-01
1.422799999999999898e-01,7.577956540000000407e-01,3.634628240000000177e-01,3.634870769999999918e-01,3.634875659999999842e-01,3.634625679999999859e-01
1.432799999999999907e-01,7.578348529999999750e-01,3.629983829999999800e-01,3.630225169999999890e-01,3.630230030000000108e-01,3.629981290000000027e-01
1.442799999999999916e-01,7.578737420000000169e-01,3.625389170000000161e-01,3.625629340000000034e-01,3.625634169999999989e-01,3.625386640000000105e-01
1.452799999999999925e-01,7.579123210000000554e-01,3.620854359999999827e-01,3.621093360000000039e-01,3.621098170000000005e-01,3.620851840000000044e-01
1.462799999999999934e-01,7.579505869999999534e-01,3.616379490000000141e-01,3.616617349999999842e-01,3.616622139999999819e-01,3.616376980000000074e-01
1.472800000000000220e-01,7.579885389999999612e-01,3.611963899999999783e-01,3.612200649999999791e-01,3.612205410000000061e-01,3.611961399999999989e-01
1.482800000000000229e-01,7.580261759999999960e-01,3.607606999999999897e-01,3.607842640000000212e-01,3.607847390000000209e-01,3.607604509999999820e-01
1.492799999999999960e-01,7.580634960000000033e-01,3.603308210000000233e-01,3.603542779999999723e-01,3.603547500000000015e-01,3.603305740000000146e-01
1.502799999999999969e-01,7.581004980000000115e-01,3.599066969999999976e-01,3.599300480000000024e-01,3.599305179999999771e-01,3.599064510000000161e-01
1.512799999999999978e-01,7.581371799999999661e-01,3.594882730000000248e-01,3.595115199999999733e-01,3.595119880000000046e-01,3.594880280000000150e-01
1.522799999999999987e-01,7.581735410000000064e-01,3.590754959999999940e-01,3.590986400000000245e-01,3.590991060000000012e-01,3.590752520000000114e-01
1.532799999999999996e-01,7.582095789999999669e-01,3.586683110000000174e-01,3.586913549999999895e-01,3.586918179999999956e-01,3.586680680000000065e-01
1.542800000000000005e-01,7.582452929999999869e-01,3.582666680000000103e-01,3.582896130000000068e-01,3.582900740000000139e-01,3.582664260000000267e-01
1.552800000000000014e-01,7.582806819999999837e-01,3.578705160000000274e-01,3.578933630000000199e-01,3.578938229999999998e-01,3.578702750000000155e-01
1.562799999999999745e-01,7.583157430000000421e-01,3.574798040000000121e-01,3.575025560000000269e-01,3.575030140000000078e-01,3.574795640000000274e-01
1.572800000000000031e-01,7.583504760000000511e-01,3.570944850000000170e-01,3.571171430000000258e-01,3.571175979999999806e-01,3.570942460000000040e-01
1.582800000000000040e-01,7.583848800000000390e-01,3.567145099999999847e-01,3.567370759999999863e-01,3.567375289999999977e-01,3.567142719999999989e-01
1.592800000000000049e-01,7.584189529999999513e-01,3.563398329999999947e-01,3.563623080000000165e-01,3.563627600000000006e-01,3.563395959999999807e-01
1.602800000000000058e-01,7.584526929999999556e-01,3.559704069999999887e-01,3.559927940000000013e-01,3.559932439999999865e-01,3.559701719999999736e-01
1.612800000000000067e-01,7.584860989999999692e-01,3.556061890000000170e-01,3.556284880000000204e-01,3.556289369999999783e-01,3.556059540000000019e-01
1.622800000000000076e-01,7.585191709999999921e-01,3.552471340000000199e-01,3.552693479999999848e-01,3.552697940000000276e-01,3.552468999999999766e-01
1.632800000000000085e-01,7.585519059999999980e-01,3.548932000000000198e-01,3.549153290000000016e-01,3.549157740000000172e-01,3.548929670000000036e-01
1.642799999999999816e-01,7.585843039999999871e-01,3.545436530000000142e-01,3.545656979999999847e-01,3.545661419999999731e-01,3.545434199999999980e-01
1.652799999999999825e-01,7.586163620000000440e-01,3.541998310000000205e-01,3.542217959999999777e-01,3.542222369999999954e-01,3.541996000000000033e-01
1.662799999999999834e-01,7.586480810000000297e-01,3.538616820000000107e-01,3.538835670000000100e-01,3.538840070000000004e-01,3.538614520000000208e-01
1.672800000000000120e-01,7.586794580000000288e-01,3.535278390000000104e-01,3.535496450000000235e-01,3.535500830000000150e-01,3.535276090000000204e-01
1.682800000000000129e-01,7.587104930000000413e-01,3.531988850000000180e-01,3.532206150000000155e-01,3.532210519999999798e-01,3.531986570000000270e-01
1.692800000000000138e-01,7.587411830000000412e-01,3.528748170000000073e-01,3.528964709999999894e-01,3.528969060000000102e-01,3.528745890000000163e-01
1.702800000000000147e-01,7.587715290000000001e-01,3.525555919999999732e-01,3.525771710000000225e-01,3.525776050000000161e-01,3.525553639999999822e-01
1.712799999999999878e-01,7.588015280000000029e-01,3.522411730000000185e-01,3.522626799999999947e-01,3.522631119999999894e-01,3.522409470000000264e-01
1.722799999999999887e-01,7.588311800000000495e-01,3.519315259999999945e-01,3.519529610000000086e-01,3.519533919999999760e-01,3.519313000000000025e-01
1.732799999999999896e-01,7.588604829999999746e-01,3.516266149999999757e-01,3.516479800000000266e-01,3.516484089999999951e-01,3.516263900000000109e-01
1.742799999999999905e-01,7.588894360000000283e-01,3.513264059999999800e-01,3.513477019999999840e-01,3.513481299999999807e-01,3.513261819999999869e-01
